t, value
0, 13533
1, 13372
2, 12632
3, 11884
4, 11551
5, 11714
6, 11687
7, 11639
8, 11727
9, 11635
10, 12061
11, 10305
12, 9784
13, 9893
14, 9570
15, 9474
16, 9637
17, 9565
18, 8238
19, 8137
20, 7908
21, 8083
22, 7912
23, 8004
24, 7967
25, 8176
26, 7928
27, 8070
28, 8238
29, 7870
30, 8090
31, 7842
32, 7956
33, 7954
34, 8967
35, 9473
36, 9776
37, 9561
38, 9567
39, 9690
40, 9507
41, 9456
42, 9608
43, 9683
44, 11573
45, 11579
46, 11438
47, 11556
48, 11360
49, 11256
50, 11349
51, 11347
52, 11368
53, 11475
54, 11355
55, 11433
56, 10619
57, 9836
58, 9510
59, 9511
60, 9687
61, 9756
62, 9655
63, 9668
64, 9605
65, 9776
66, 9873
67, 9647
68, 9597
69, 9716
70, 10119
71, 11421
72, 11298
73, 11530
74, 11567
75, 11596
76, 11540
77, 10587
78, 9657
79, 9408
80, 8015
81, 7573
82, 7790
83, 7740
84, 7761
85, 7991
86, 7925
87, 8099
88, 8014
89, 8061
90, 7834
91, 7934
92, 7950
93, 7890
94, 7762
95, 7877
96, 7837
97, 7860
98, 7863
99, 7801
100, 8101
101, 7772
102, 7663
103, 7732
104, 7785
105, 7803
106, 7767
107, 7923
108, 7773
109, 7850
110, 7949
111, 7910
112, 8059
113, 7706
114, 7829
115, 7743
116, 7734
117, 9018
118, 9795
119, 9538
120, 9677
121, 9395
122, 9403
123, 9654
124, 9883
125, 9879
126, 9610
127, 7724
128, 7786
129, 7801
130, 7910
131, 7812
132, 9601
133, 9647
134, 9455
135, 9498
136, 9789
137, 9752
138, 9574
139, 9373
140, 9615
141, 9636
142, 9879
143, 9765
144, 9917
145, 9869
146, 9713
147, 9589
148, 9559
149, 9478
150, 9531
151, 9636
152, 9583
153, 9573
154, 9876
155, 9655
156, 9596
157, 9823
158, 9858
159, 11041
160, 11254
161, 11586
162, 11392
163, 11500
164, 11730
165, 11757
166, 11687
167, 11745
168, 11605
169, 11339
170, 11423
171, 11442
172, 11380
173, 11484
174, 11650
175, 11615
176, 11197
177, 11372
178, 11276
179, 11396
180, 11217
181, 11455
182, 11379
183, 11616
184, 11350
185, 11212
186, 11315
187, 11568
188, 12733
189, 13235
190, 12812
191, 12736
192, 13128
193, 12794
194, 13485
195, 14784
196, 13662
197, 13383
198, 13413
199, 13215
200, 13414
201, 13390
202, 13115
203, 13382
204, 13696
205, 13477
206, 13687
207, 13336
208, 12017
209, 11923
210, 11679
211, 11683
212, 11603
213, 11747
214, 12731
215, 13491
216, 13001
217, 11336
218, 11357
219, 11468
220, 11552
221, 11413
222, 11143
223, 9761
224, 9513
225, 9373
226, 9433
227, 7896
228, 7947
229, 7798
230, 8138
231, 10108
232, 9806
233, 9881
234, 9679
235, 9689
236, 8383
237, 7858
238, 7934
239, 9388
240, 9724
241, 9457
242, 9624
243, 9793
244, 11751
245, 11796
246, 11411
247, 11491
248, 11479
249, 11502
250, 9908
251, 9675
252, 9639
253, 9637
254, 9662
255, 9667
256, 9760
257, 9651
258, 9778
259, 9472
260, 9778
261, 9529
262, 9588
263, 10479
264, 11519
265, 11250
266, 11460
267, 11475
268, 11776
269, 11383
270, 10055
271, 9496
272, 9495
273, 9457
274, 9846
275, 9927
276, 9857
277, 10266
278, 11548
279, 11621
280, 11664
281, 11483
282, 11753
283, 9847
284, 9831
285, 9945
286, 9764
287, 9741
288, 9587
289, 9688
290, 7794
291, 7661
292, 7777
293, 7782
294, 7479
295, 7547
296, 7631
297, 7888
298, 9408
299, 9347
300, 9484
301, 9455
302, 9548
303, 9644
304, 9532
305, 8108
306, 8269
307, 8110
308, 8004
309, 7824
310, 7779
311, 9548
312, 9812
313, 10690
314, 11588
315, 10525
316, 9698
317, 9637
318, 9599
319, 9772
320, 9575
321, 9529
322, 9355
323, 9533
324, 9743
325, 9540
326, 9853
327, 9555
328, 11202
329, 11346
330, 11344
331, 11187
332, 11262
333, 11363
334, 11590
335, 11427
336, 11415
337, 11241
338, 11664
